#,Token,Price,Change (%),Volume (24H),Market Cap,Holders,dt,date
1,USDT,$0.99920,-0.19%,"$55,483,389,936","$20,674,554,399","2,222,140 0.024%",2020-12-26 13:05:59.123610,2020-12-26
2,BNB,$33.25000,2.85%,"$545,369,253","$4,950,931,345","314,570 0.000%",2020-12-26 13:05:59.123610,2020-12-26
3,LINK,$11.65000,3.36%,"$1,011,398,765","$4,662,614,215","302,861 0.049%",2020-12-26 13:05:59.123610,2020-12-26
4,USDC,$0.99960,-0.33%,"$867,808,473","$3,570,403,729","527,571 0.050%",2020-12-26 13:05:59.123610,2020-12-26
5,WBTC,"$24,829.00000",5.04%,"$337,672,144","$2,796,129,273","19,037 0.573%",2020-12-26 13:05:59.123610,2020-12-26
6,OKB,$6.20000,2.19%,"$96,624,714","$1,684,034,263","42,138 0.000%",2020-12-26 13:05:59.123610,2020-12-26
7,CEL,$3.78000,0.03%,"$7,024,450","$1,451,824,361","13,196 0.197%",2020-12-26 13:05:59.123610,2020-12-26
8,THETA,$1.37000,15.15%,"$156,800,670","$1,368,832,259","27,247 0.011%",2020-12-26 13:05:59.123610,2020-12-26
9,LEO,$1.38000,1.56%,"$1,687,305","$1,342,860,197","1,873 0.000%",2020-12-26 13:05:59.123610,2020-12-26
10,CRO,$0.05920,1.60%,"$45,512,158","$1,325,072,825","59,697 0.015%",2020-12-26 13:05:59.123610,2020-12-26
11,cDAI,$0.02090,-0.13%,"$4,593,014","$1,301,969,324","13,984 0.122%",2020-12-26 13:05:59.123610,2020-12-26
12,DAI,$1.00000,-0.42%,"$206,130,057","$1,119,162,198","239,675 0.168%",2020-12-26 13:05:59.123610,2020-12-26
13,WFIL,$23.69000,-0.43%,"$97,427,681","$1,063,119,231",58 0.000%,2020-12-26 13:05:59.123610,2020-12-26
14,SNX,$7.57000,4.21%,"$156,723,295","$1,032,125,569","32,938 0.304%",2020-12-26 13:05:59.123610,2020-12-26
15,ST,$12.06000,8734.65%,"$723,462","$982,246,580","18,528 0.005%",2020-12-26 13:05:59.123610,2020-12-26
16,VEN,$0.01450,-1.70%,"$145,621,726","$945,390,485","45,824 0.002%",2020-12-26 13:05:59.123610,2020-12-26
17,HT,$4.02000,0.78%,"$100,473,210","$937,445,670","13,355 -0.067%",2020-12-26 13:05:59.123610,2020-12-26
18,cUSDC,$0.02130,-0.16%,"$20,566,786","$889,832,399","214,377 0.004%",2020-12-26 13:05:59.123610,2020-12-26
19,BUSD,$1.00000,-0.17%,"$950,716,819","$810,604,312","10,068 0.109%",2020-12-26 13:05:59.123610,2020-12-26
20,ZIL,$0.06700,11.96%,"$369,155,542","$756,118,336","24,635 0.000%",2020-12-26 13:05:59.123610,2020-12-26
21,UNI,$3.51000,1.73%,"$218,165,091","$755,522,674","111,093 0.051%",2020-12-26 13:05:59.123610,2020-12-26
22,cETH,$12.63000,3.42%,"$228,419","$718,254,618","57,121 0.016%",2020-12-26 13:05:59.123610,2020-12-26
23,YFI,"$23,381.00000",-3.89%,"$320,524,300","$702,045,825","17,820 0.090%",2020-12-26 13:05:59.123610,2020-12-26
24,COMP,$133.73000,-1.36%,"$38,533,506","$550,165,335","107,851 0.061%",2020-12-26 13:05:59.123610,2020-12-26
25,MKR,$536.99000,2.66%,"$49,279,297","$488,333,980","53,901 0.024%",2020-12-26 13:05:59.123610,2020-12-26
26,UMA,$8.17000,0.52%,"$17,518,820","$455,075,880","7,454 0.080%",2020-12-26 13:05:59.123610,2020-12-26
27,GRT,$0.33130,-17.05%,"$354,122,698","$409,686,941","10,869 -0.037%",2020-12-26 13:05:59.123610,2020-12-26
28,OMG,$2.57000,-0.05%,"$243,224,640","$361,849,141","683,542 0.001%",2020-12-26 13:05:59.123610,2020-12-26
29,PAX,$1.03000,2.65%,"$91,131,034","$347,229,879","97,579 -0.001%",2020-12-26 13:05:59.123610,2020-12-26
30,NEXO,$0.59410,-1.52%,"$13,232,464","$332,996,040","63,351 0.058%",2020-12-26 13:05:59.123610,2020-12-26
31,BAT,$0.21390,-0.61%,"$127,461,207","$317,188,352","377,480 0.012%",2020-12-26 13:05:59.123610,2020-12-26
32,SUSHI,$2.45000,-6.55%,"$212,960,458","$311,941,720","22,609 0.124%",2020-12-26 13:05:59.123610,2020-12-26
33,CHSB,$0.33320,11.70%,"$5,471,693","$311,404,840","25,113 0.084%",2020-12-26 13:05:59.123610,2020-12-26
34,ZRX,$0.36600,0.07%,"$39,278,672","$275,200,440","163,921 0.010%",2020-12-26 13:05:59.123610,2020-12-26
35,TUSD,$1.00000,-0.34%,"$120,334,685","$271,022,923","37,858 0.061%",2020-12-26 13:05:59.123610,2020-12-26
36,LRC,$0.14920,-2.42%,"$18,413,158","$186,877,359","69,325 0.014%",2020-12-26 13:05:59.123610,2020-12-26
37,HBTC,"$24,754.00000",5.52%,"$3,618,757","$171,240,154",554 0.000%,2020-12-26 13:05:59.123610,2020-12-26
38,NXM,$24.15000,3.19%,"$6,379","$162,435,898","3,034 0.066%",2020-12-26 13:05:59.123610,2020-12-26
39,HUSD,$0.99880,-0.33%,"$67,400,719","$161,641,655","3,112 0.193%",2020-12-26 13:05:59.123610,2020-12-26
40,QNT,$12.33000,6.42%,"$3,388,327","$153,156,929","11,433 0.044%",2020-12-26 13:05:59.123610,2020-12-26
41,1INCH,$2.09000,-9.23%,"$594,978,784","$141,402,867","14,417 3.010%",2020-12-26 13:05:59.123610,2020-12-26
42,OCEAN,$0.32410,-3.62%,"$23,699,327","$136,735,285","21,560 0.056%",2020-12-26 13:05:59.123610,2020-12-26
43,BAL,$12.45000,0.04%,"$31,118,697","$132,588,176","22,664 0.031%",2020-12-26 13:05:59.123610,2020-12-26
44,ENJ,$0.14000,-0.78%,"$8,977,577","$129,905,812","66,315 0.015%",2020-12-26 13:05:59.123610,2020-12-26
45,NMR,$23.92000,-0.04%,"$5,460,588","$125,444,635","29,770 -0.007%",2020-12-26 13:05:59.123610,2020-12-26
46,BAND,$5.46000,-1.47%,"$55,774,388","$123,841,345","27,520 0.033%",2020-12-26 13:05:59.123610,2020-12-26
47,SNT,$0.03040,-0.19%,"$9,569,095","$118,457,976","84,752 0.002%",2020-12-26 13:05:59.123610,2020-12-26
48,BNT,$1.22000,0.73%,"$71,536,914","$114,525,496","29,477 0.024%",2020-12-26 13:05:59.123610,2020-12-26
49,CHZ,$0.02060,6.04%,"$51,278,789","$111,650,284","15,684 -2.314%",2020-12-26 13:05:59.123610,2020-12-26
50,sUSD,$1.00000,-1.09%,"$15,598,098","$111,254,621","7,714 -0.065%",2020-12-26 13:05:59.123610,2020-12-26
51,IOST,$0.00580,-2.72%,"$31,456,846","$106,202,790","40,674 0.000%",2020-12-26 13:05:59.123610,2020-12-26
52,cUSDT,$0.02050,-0.07%,"$29,791,075","$106,071,612","2,499 -0.040%",2020-12-26 13:05:59.123610,2020-12-26
53,HOT,$0.00060,0.84%,"$7,088,417","$103,494,268","40,514 -0.010%",2020-12-26 13:05:59.123610,2020-12-26
54,GNO,$66.87000,2.13%,"$562,800","$100,604,838","11,339 0.000%",2020-12-26 13:05:59.123610,2020-12-26
55,ANT,$2.87000,1.16%,"$10,163,728","$99,416,298","2,790 0.358%",2020-12-26 13:05:59.123610,2020-12-26
56,REPv2,$16.34000,-3.97%,"$12,450,566","$92,210,337","6,902 -0.174%",2020-12-26 13:05:59.123610,2020-12-26
57,BTM,$0.05520,0.72%,"$10,977,857","$90,923,743","49,492 0.000%",2020-12-26 13:05:59.123610,2020-12-26
58,LEND,$0.78430,0.79%,"$40,931","$79,055,894","152,719 -0.005%",2020-12-26 13:05:59.123610,2020-12-26
59,PAXG,"$1,897.63000",-0.09%,"$1,430,664","$71,845,758","5,956 -0.034%",2020-12-26 13:05:59.123610,2020-12-26
60,GLM,$0.10340.0000041602,-1.37%,"$612,272","$67,981,126","1,840 1.033%",2020-12-26 13:05:59.123610,2020-12-26
61,UBT,$0.47000,-3.31%,"$1,455,940","$65,862,945","17,582 0.017%",2020-12-26 13:05:59.123610,2020-12-26
62,PNK,$0.11300,5.29%,"$761,136","$59,275,938","8,102 -0.049%",2020-12-26 13:05:59.123610,2020-12-26
63,DIVX,$0.02830,3.74%,"$214,302","$58,404,861",924 0.000%,2020-12-26 13:05:59.123610,2020-12-26
64,KCS,$0.70070,-4.88%,"$5,565,395","$56,269,583","62,270 0.000%",2020-12-26 13:05:59.123610,2020-12-26
65,RLC,$0.79050,-2.51%,"$4,232,061","$55,516,293","18,639 -0.005%",2020-12-26 13:05:59.123610,2020-12-26
66,ENG,$0.65560,15.92%,"$89,627","$54,133,683","15,050 -0.020%",2020-12-26 13:05:59.123610,2020-12-26
67,SXP,$0.69800,-2.75%,"$19,934,471","$53,947,500","18,830 0.000%",2020-12-26 13:05:59.123610,2020-12-26
68,TRAC,$0.18490,0.36%,"$246,369","$53,766,180","14,283 0.021%",2020-12-26 13:05:59.123610,2020-12-26
69,WAX,$0.03600,-0.08%,"$848,157","$52,944,692","16,324 0.000%",2020-12-26 13:05:59.123610,2020-12-26
70,POLY,$0.07020,2.08%,"$1,181,458","$52,489,645","95,631 0.003%",2020-12-26 13:05:59.123610,2020-12-26
71,cZRX,$0.00750,0.32%,"$3,996","$51,548,988","3,786 0.053%",2020-12-26 13:05:59.123610,2020-12-26
72,cUNI,$0.07060,1.69%,"$42,919","$51,244,011","2,248 0.133%",2020-12-26 13:05:59.123610,2020-12-26
73,SRM,$1.02000,-1.84%,"$14,705,326","$51,118,431","4,590 0.109%",2020-12-26 13:05:59.123610,2020-12-26
74,ELF,$0.10130,-1.14%,"$14,320,424","$46,890,836","51,443 0.008%",2020-12-26 13:05:59.123610,2020-12-26
75,BTU,$0.57670,-4.26%,"$195,560","$46,100,770","2,463 0.000%",2020-12-26 13:05:59.123610,2020-12-26
76,AGI,$0.04730,1.53%,"$576,701","$44,920,197","17,742 0.006%",2020-12-26 13:05:59.123610,2020-12-26
77,NPXS,$0.00020,6.44%,"$2,391,462","$44,738,914","74,680 0.021%",2020-12-26 13:05:59.123610,2020-12-26
78,FTM,$0.01690,-4.45%,"$4,560,872","$43,339,786","12,700 0.000%",2020-12-26 13:05:59.123610,2020-12-26
79,BTMX,$0.05610,7.80%,"$4,438,004","$43,095,923",485 -0.206%,2020-12-26 13:05:59.123610,2020-12-26
80,STORJ,$0.29300,-3.47%,"$19,745,118","$42,251,246","75,150 -0.008%",2020-12-26 13:05:59.123610,2020-12-26
81,ONE,$0.00480,-1.94%,"$3,274,688","$41,863,616",185 0.000%,2020-12-26 13:05:59.123610,2020-12-26
82,POWR,$0.09530,-0.49%,"$2,663,683","$41,025,385","52,400 0.002%",2020-12-26 13:05:59.123610,2020-12-26
83,EURS,$1.23000,-0.02%,"$821,309","$39,573,037","3,709 -0.054%",2020-12-26 13:05:59.123610,2020-12-26
84,RPL,$2.37000,7.82%,"$832,798","$37,920,092","10,746 -0.028%",2020-12-26 13:05:59.123610,2020-12-26
85,IOTX,$0.00650,-1.59%,"$1,747,654","$36,972,365","12,185 0.000%",2020-12-26 13:05:59.123610,2020-12-26
86,LPT,$1.59000,5.73%,"$9,816","$36,461,106","2,552,796 0.000%",2020-12-26 13:05:59.123610,2020-12-26
87,MLN,$29.91000,-0.20%,"$2,518,873","$36,436,705","4,015 0.100%",2020-12-26 13:05:59.123610,2020-12-26
88,FET,$0.05130,0.41%,"$3,631,246","$35,476,960","8,925 0.078%",2020-12-26 13:05:59.123610,2020-12-26
89,ZB,$0.25710,1.55%,"$10,643,149","$34,147,081","21,489 0.000%",2020-12-26 13:05:59.123610,2020-12-26
90,QKC,$0.00520,6.48%,"$4,225,307","$33,547,048","9,407 -0.011%",2020-12-26 13:05:59.123610,2020-12-26
91,AION,$0.06720,-3.53%,"$1,485,244","$32,853,060","12,039 -0.008%",2020-12-26 13:05:59.123610,2020-12-26
92,VGX,$0.14770,-1.39%,"$420,316","$32,727,603","27,509 0.004%",2020-12-26 13:05:59.123610,2020-12-26
93,USDK,$1.00000,-0.20%,"$108,342,654","$32,496,702","3,419 0.000%",2020-12-26 13:05:59.123610,2020-12-26
94,C20,$0.93900,12.02%,"$13,302","$31,263,130","9,562 0.010%",2020-12-26 13:05:59.123610,2020-12-26
95,WIC,$0.16030,-5.76%,"$12,640,376","$30,372,876","39,674 0.000%",2020-12-26 13:05:59.123610,2020-12-26
96,DIA,$1.18000,-5.00%,"$7,535,801","$30,053,668","15,192 0.046%",2020-12-26 13:05:59.123610,2020-12-26
97,STAKE,$8.33000,-0.78%,"$2,060,268","$29,764,384","10,415 -0.029%",2020-12-26 13:05:59.123610,2020-12-26
98,wNXM,$16.60000,1.10%,"$9,474,024","$29,478,460","4,502 -0.022%",2020-12-26 13:05:59.123610,2020-12-26
99,TRB,$18.01000,-1.92%,"$22,125,444","$29,200,492","8,213 0.037%",2020-12-26 13:05:59.123610,2020-12-26
100,ZAP,$0.11830,6.99%,"$1,450,594","$28,622,587","4,733 0.000%",2020-12-26 13:05:59.123610,2020-12-26
101,ORBS,$0.01260,0.04%,"$235,774","$28,560,616","6,405 0.031%",2020-12-26 13:05:59.852117,2020-12-26
102,GARD,$0.00010,-2.03%,"$125,083","$28,394,466","10,695 0.000%",2020-12-26 13:05:59.852117,2020-12-26
103,BOA,$0.09310,1.63%,"$164,242","$27,753,403",688 -0.145%,2020-12-26 13:05:59.852117,2020-12-26
104,MXC,$0.01140,-0.84%,"$2,630,795","$27,682,266","7,818 0.013%",2020-12-26 13:05:59.852117,2020-12-26
105,DATA,$0.03700,10.25%,"$1,368,797","$25,866,392","448,220 0.000%",2020-12-26 13:05:59.852117,2020-12-26
106,mUSD,$1.00000,-0.04%,"$499,712","$25,523,205","5,026 -0.040%",2020-12-26 13:05:59.852117,2020-12-26
107,KEEP,$0.23640,12.68%,"$1,011,645","$25,520,737","3,206 -0.156%",2020-12-26 13:05:59.852117,2020-12-26
108,OGN,$0.12680,1.60%,"$7,291,702","$25,380,712","27,901 0.004%",2020-12-26 13:05:59.852117,2020-12-26
109,ZT,$0.05010,1.56%,"$8,293,489","$25,032,297","42,535 0.000%",2020-12-26 13:05:59.852117,2020-12-26
110,SALT,$0.28430,13.42%,"$103,640","$24,885,308","68,469 0.000%",2020-12-26 13:05:59.852117,2020-12-26
111,ULT,$0.01240,0.82%,"$98,284","$23,978,090","10,023 0.000%",2020-12-26 13:05:59.852117,2020-12-26
112,NULS,$0.24150,-1.27%,"$6,539,887","$23,836,973",33 0.000%,2020-12-26 13:05:59.852117,2020-12-26
113,SAND,$0.03810,-5.78%,"$5,013,217","$23,742,433","7,774 0.103%",2020-12-26 13:05:59.852117,2020-12-26
114,MTL,$0.35730,1.67%,"$4,102,538","$23,166,350","10,156 0.000%",2020-12-26 13:05:59.852117,2020-12-26
115,BZRX,$0.16470.0000066310,-3.31%,"$7,936,929","$23,163,963","6,626 0.060%",2020-12-26 13:05:59.852117,2020-12-26
116,REQ,$0.02960,2.41%,"$218,880","$22,992,487","36,949 0.005%",2020-12-26 13:05:59.852117,2020-12-26
117,LOOM,$0.02630,2.03%,"$6,755,090","$21,996,431","12,096 -0.008%",2020-12-26 13:05:59.852117,2020-12-26
118,MFT,$0.00230,-0.26%,"$1,831,252","$21,789,363","23,924 -0.004%",2020-12-26 13:05:59.852117,2020-12-26
119,UQC,$2.16000,3.64%,"$3,572,794","$21,633,639","3,939 0.000%",2020-12-26 13:05:59.852117,2020-12-26
120,ICN,$0.21670.0000209390,--,$0,"$21,441,525","14,528 0.000%",2020-12-26 13:05:59.852117,2020-12-26
121,FUN,$0.00360,-2.21%,"$330,307","$21,441,219","76,655 0.001%",2020-12-26 13:05:59.852117,2020-12-26
122,YCC,$0.00640,-1.88%,"$106,783","$20,787,876","3,637 0.000%",2020-12-26 13:05:59.852117,2020-12-26
